Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,base_form,grade,synonyms,missing_data
actinium,21,0,#N/A,NA,NA,0,,,,
ambuscade,21,0,#N/A,NA,NA,0,,,,
bosky,21,0,#N/A,NA,NA,0,,,,
canaille,21,0,#N/A,NA,NA,0,,,,
compeer,21,0,#N/A,NA,NA,0,,,,
europium,21,0,#N/A,NA,NA,0,,,,
gallimaufry,21,0,#N/A,NA,NA,0,,,,
hutment,21,0,#N/A,NA,NA,0,,,,
karakul,21,0,#N/A,NA,NA,0,,,,
kedge,21,0,#N/A,NA,NA,0,,,,
kyat,21,0,#N/A,NA,NA,0,,,,
peculation,21,0,#N/A,NA,NA,0,,,,
pother,21,0,#N/A,NA,NA,0,,,,
rogation,21,0,#N/A,NA,NA,0,,,,
smilax,21,0,#N/A,NA,NA,0,,,,
thulium,21,0,#N/A,NA,NA,0,,,,
williwaw,21,0,#N/A,NA,NA,0,,,,
wickiup,21,0,0.27,NA,NA,0,,,,
ashlar,20,0,#N/A,NA,NA,0,,,,
bantling,21,1,#N/A,2,NA,0.05,,,,
chaffinch,21,1,#N/A,8,NA,0.05,,,,
glabrous,20,1,#N/A,8,NA,0.05,,,,
purblind,22,1,0.04,10,NA,0.05,,,,
alcalde,20,1,0.27,11,NA,0.05,,,,
jacinth,21,1,#N/A,12,NA,0.05,,,,
moil,21,1,#N/A,12,NA,0.05,,,,
passerine,20,1,#N/A,12,NA,0.05,,,,
almoner,21,1,#N/A,13,NA,0.05,,,,
conurbation,21,1,#N/A,13,NA,0.05,,,,
riband,21,1,#N/A,13,NA,0.05,,,,
guidon,21,1,0.12,13,NA,0.05,,,,
conspectus,21,1,#N/A,14,NA,0.05,,,,
inanition,21,1,#N/A,14,NA,0.05,,,,
osier,21,1,#N/A,14,NA,0.05,,,,
prolix,21,1,#N/A,14,NA,0.05,,,,
quinsy,21,1,#N/A,14,NA,0.05,,,,
rupiah,21,1,#N/A,14,NA,0.05,,,,
venation,21,1,#N/A,14,NA,0.05,,,,
pice,21,1,0.02,14,NA,0.05,,,,
rubicund,20,1,#N/A,14,NA,0.05,,,,
kwacha,19,1,0.02,14,NA,0.05,,,,
farandole,18,1,0.04,14,NA,0.06,,,,
aigrette,21,1,#N/A,15,NA,0.05,,,,
burgee,21,1,#N/A,15,NA,0.05,,,,
caravansary,21,1,#N/A,15,NA,0.05,,,,
incunabulum,21,1,#N/A,15,NA,0.05,,,,
piaster,21,1,#N/A,15,NA,0.05,,,,
prolegomenon,21,1,#N/A,15,NA,0.05,,,,
forfend,21,1,0.08,15,NA,0.05,,,,
modiste,21,1,0.06,15,NA,0.05,,,,
vasty,21,1,0.02,15,NA,0.05,,,,
biretta,20,1,#N/A,15,NA,0.05,,,,
margrave,20,1,#N/A,15,NA,0.05,,,,
energumen,19,1,0.02,15,NA,0.05,,,,
timbrel,21,1,0.04,16,NA,0.05,,,,
dybbuk,20,1,0.04,16,NA,0.05,,,,
anent,21,1,#N/A,17,NA,0.05,,,,
cheviot,21,1,#N/A,17,NA,0.05,,,,
licentiate,21,1,#N/A,17,NA,0.05,,,,
purlieu,21,1,#N/A,17,NA,0.05,,,,
vatic,21,1,#N/A,17,NA,0.05,,,,
carabao,21,1,0.04,17,NA,0.05,,,,
cottar,21,1,#N/A,18,NA,0.05,,,,
eglantine,21,1,#N/A,18,NA,0.05,,,,
epergne,21,1,#N/A,18,NA,0.05,,,,
malison,21,1,#N/A,18,NA,0.05,,,,
pelf,21,1,#N/A,18,NA,0.05,,,,
raceme,21,1,#N/A,18,NA,0.05,,,,
taffrail,21,1,0.04,18,NA,0.05,,,,
suffragan,20,1,#N/A,18,NA,0.05,,,,
condign,21,1,#N/A,19,NA,0.05,,,,
collodion,21,1,0.06,19,NA,0.05,,,,
bombazine,20,1,#N/A,19,NA,0.05,,,,
majuscule,21,1,#N/A,20,NA,0.05,,,,
furfural,18,1,0.12,20,NA,0.06,,,,
yakitori,18,1,0.04,20,NA,0.06,,,,
architrave,19,1,0.04,21,NA,0.05,,,,
eisteddfod,21,1,#N/A,25,NA,0.05,,,,
mashie,19,2,0.16,9,9.9,0.11,,,,
bas,19,2,0.18,9,1.41,0.11,,,,
emption,20,2,0.02,9.5,3.54,0.1,,,,
mynah,18,2,0.39,9.5,2.12,0.11,,,,
zaftig,19,2,0.04,10,4.24,0.11,,,,
dragoman,18,2,0.04,10.5,2.12,0.11,,,,
aconitum,20,2,0.08,11,4.24,0.1,,,,
hie,19,2,0.14,11,4.24,0.11,,,,
mesdames,21,2,0.49,12,1.41,0.1,,,,
susurration,19,2,0.02,12,2.83,0.11,,,,
borzoi,18,2,0.1,12,8.49,0.11,,,,
dracaena,18,2,0.02,12,2.83,0.11,,,,
samarium,21,2,#N/A,12.5,3.54,0.1,,,,
thane,20,2,0.71,12.5,3.54,0.1,,,,
tomtit,18,2,0.02,12.5,2.12,0.11,,,,
currish,18,2,0.02,13,5.66,0.11,,,,
teasel,21,2,#N/A,13.5,4.95,0.1,,,,
chert,21,2,#N/A,13.5,2.12,0.1,,,,
colporteur,20,2,#N/A,13.5,2.12,0.1,,,,
casein,19,2,0.02,13.5,0.71,0.11,,,,
anodic,21,2,#N/A,14,2.83,0.1,,,,
lenity,21,2,#N/A,14,0,0.1,,,,
poltroon,19,2,0.06,14,1.41,0.11,,,,
muezzin,18,2,0.08,14,2.83,0.11,,,,
daimyo,18,2,0.29,14,1.41,0.11,,,,
cinchona,21,2,#N/A,14.5,6.36,0.1,,,,
ratiocination,21,2,0.06,14.5,3.54,0.1,,,,
abbacy,21,2,#N/A,14.5,0.71,0.1,,,,
blench,21,2,#N/A,14.5,0.71,0.1,,,,
internuncio,21,2,#N/A,14.5,0.71,0.1,,,,
duma,21,2,0.8,14.5,0.71,0.1,,,,
hellgrammite,20,2,#N/A,14.5,4.95,0.1,,,,
glebe,21,2,#N/A,15,9.9,0.1,,,,
pilchard,21,2,#N/A,15,7.07,0.1,,,,
alphorn,21,2,#N/A,15,1.41,0.1,,,,
chela,21,2,0.04,15,1.41,0.1,,,,
villous,21,2,#N/A,15,0,0.1,,,,
woad,21,2,0.04,15,0,0.1,,,,
eosin,20,2,0.02,15,1.41,0.1,,,,
voc,19,2,0.94,15,1.41,0.11,,,,
floribunda,19,2,0.04,15,0,0.11,,,,
entrechat,19,2,0.02,15,0,0.11,,,,
rowel,18,2,0.06,15,4.24,0.11,,,,
souk,18,2,0.02,15,1.41,0.11,,,,
apothegm,21,2,#N/A,15.5,0.71,0.1,,,,
castellated,21,2,#N/A,15.5,0.71,0.1,,,,
chanson,20,2,0.06,15.5,3.54,0.1,,,,
isthmian,20,2,#N/A,15.5,0.71,0.1,,,,
cithara,20,2,0.02,15.5,0.71,0.1,,,,
lemma,19,2,0.02,15.5,0.71,0.11,,,,
striatum,19,2,0.02,15.5,0.71,0.11,,,,
galoots,18,2,0.1,15.5,3.54,0.11,,,,
nepenthe,18,2,0.1,15.5,2.12,0.11,,,,
neap,18,2,0.02,15.5,0.71,0.11,,,,
gymkhana,21,2,#N/A,16,4.24,0.1,,,,
chirography,20,2,#N/A,16,1.41,0.1,,,,
hod,20,2,0.02,16,1.41,0.1,,,,
couchant,19,2,0.04,16,1.41,0.11,,,,
farceur,18,2,0.02,16,1.41,0.11,,,,
naira,18,2,0.02,16,1.41,0.11,,,,
banditti,21,2,#N/A,16.5,2.12,0.1,,,,
marmoreal,21,2,#N/A,16.5,2.12,0.1,,,,
vitiation,21,2,#N/A,16.5,0.71,0.1,,,,
adumbration,20,2,#N/A,16.5,0.71,0.1,,,,
ranunculus,20,2,0.04,16.5,0.71,0.1,,,,
buckram,19,2,#N/A,16.5,0.71,0.11,,,,
carom,19,2,0.1,16.5,0.71,0.11,,,,
bezique,18,2,0.06,16.5,2.12,0.11,,,,
howdah,19,2,0.02,17,5.66,0.11,,,,
milch,19,2,0.02,17,2.83,0.11,,,,
rotenone,18,2,0.18,17,0,0.11,,,,
vicegerent,21,2,#N/A,17.5,3.54,0.1,,,,
thew,21,2,0.02,17.5,3.54,0.1,,,,
baldachin,21,2,#N/A,17.5,2.12,0.1,,,,
proem,21,2,#N/A,17.5,2.12,0.1,,,,
tiffin,21,2,0.04,17.5,2.12,0.1,,,,
punctilio,20,2,#N/A,17.5,3.54,0.1,,,,
palinode,20,2,#N/A,17.5,2.12,0.1,,,,
cheongsam,19,2,0.02,17.5,3.54,0.11,,,,
feuilleton,18,2,0.02,18,5.66,0.11,,,,
contumacious,21,2,#N/A,18.5,2.12,0.1,,,,
intrados,21,2,#N/A,18.5,0.71,0.1,,,,
buboes,20,2,#N/A,18.5,0.71,0.1,,,,
celandine,21,2,#N/A,19,1.41,0.1,,,,
velar,21,2,#N/A,19.5,6.36,0.1,,,,
cortices,21,2,#N/A,19.5,0.71,0.1,,,,
pederasty,19,2,0.02,20,4.24,0.11,,,,
kendo,18,2,0.37,20.5,6.36,0.11,,,,
calceolaria,19,2,0.02,21,5.66,0.11,,,,
swellfish,20,3,0.02,10.33,5.13,0.15,,,,
easting,20,3,0.02,10.33,1.53,0.15,,,,
anticline,19,3,0.02,10.67,6.66,0.16,,,,
opprobrious,21,3,#N/A,11,7.81,0.14,,,,
hyoid,19,3,0.12,11,5,0.16,,,,
flocculation,20,3,0.04,11.33,3.06,0.15,,,,
halloo,18,3,0.2,11.33,4.04,0.17,,,,
trireme,21,3,#N/A,11.67,2.08,0.14,,,,
scapegrace,19,3,0.04,11.67,3.79,0.16,,,,
popinjay,18,3,0.2,11.67,2.89,0.17,,,,
topgallant,18,3,0.12,11.67,2.52,0.17,,,,
cantabile,18,3,0.04,11.67,1.53,0.17,,,,
bairn,21,3,0.24,12,2,0.14,,,,
amanuensis,18,3,0.04,12,2,0.17,,,,
newel,20,3,0.06,12.33,4.04,0.15,,,,
wherry,19,3,0.08,12.33,4.93,0.16,,,,
hafiz,19,3,0.08,12.33,4.16,0.16,,,,
dysprosium,18,3,0.02,12.33,4.04,0.17,,,,
seppuku,18,3,0.12,12.33,1.53,0.17,,,,
kobold,21,3,#N/A,12.67,1.53,0.14,,,,
shoat,19,3,0.02,12.67,1.53,0.16,,,,
quisling,18,3,0.06,12.67,2.08,0.17,,,,
cockade,21,3,#N/A,13,1,0.14,,,,
soc,18,3,0.22,13,3.61,0.17,,,,
latitudinarian,18,3,#N/A,13.33,4.16,0.17,,,,
minatory,18,3,#N/A,13.33,4.16,0.17,,,,
yare,18,3,0.2,13.33,3.21,0.17,,,,
jingoist,18,3,0.02,13.33,2.08,0.17,,,,
stereoisomerism,22,3,0.02,13.67,3.06,0.14,,,,
musette,21,3,0.02,13.67,2.89,0.14,,,,
calif,21,3,0.02,13.67,2.52,0.14,,,,
calumnious,20,3,#N/A,13.67,1.53,0.15,,,,
hyrax,19,3,0.04,13.67,2.89,0.16,,,,
clevis,19,3,0.02,13.67,1.53,0.16,,,,
goanna,18,3,0.06,13.67,3.51,0.17,,,,
jocose,18,3,0.08,13.67,1.15,0.17,,,,
besom,21,3,#N/A,14,3.61,0.14,,,,
poniard,21,3,#N/A,14,3.61,0.14,,,,
remora,21,3,0.16,14,3.61,0.14,,,,
milliard,21,3,#N/A,14,2,0.14,,,,
portcullis,20,3,0.08,14,2,0.15,,,,
nu,18,3,1.02,14,6.93,0.17,,,,
vinous,21,3,#N/A,14.33,2.52,0.14,,,,
pogrom,21,3,0.12,14.33,2.52,0.14,,,,
glengarry,21,3,0.06,14.33,2.52,0.14,,,,
dacha,20,3,0.08,14.33,3.79,0.15,,,,
scintilla,20,3,0.12,14.33,2.08,0.15,,,,
atheneum,20,3,0.02,14.33,0.58,0.15,,,,
bedlamite,19,3,0.04,14.33,4.04,0.16,,,,
hyperemic,19,3,0.02,14.33,2.08,0.16,,,,
papilla,19,3,0.02,14.33,2.08,0.16,,,,
diktat,18,3,0.02,14.33,6.35,0.17,,,,
doyen,18,3,0.02,14.33,5.13,0.17,,,,
trephination,18,3,0.02,14.33,4.73,0.17,,,,
mezuzah,20,3,0.25,14.67,3.79,0.15,,,,
hennaed,20,3,0.02,14.67,2.08,0.15,,,,
